Chamber,Candidate,Self-funding,Raised from Others,Percentage Self-funded,Result
House,Tahir Javed (D-Texas),"$1,433,416 ","$420,522 ",77.32%,Lost
House,Dan Meuser (R-Pa),"$1,426,442 ","$814,623 ",63.66%,Won
House,Thomas MacArthur (R-NJ),"$1,360,000 ","$3,365,105 ",28.79%,Lost
House,Dean Phillips (D-Minn),"$1,349,561 ","$4,915,680 ",21.55%,Won
Senate,Jerome Segal (D-Md),"$1,271,189 ","$14,308 ",98.89%,Lost
House,Peter deNeufville (R-NJ),"$1,238,165 ","$54,229 ",95.81%,Lost
House,David Kim (D-Ga),"$1,214,489 ","$276,508 ",81.46%,Lost
House,Denny Wolff (D-Pa),"$1,200,071 ","$370,215 ",76.43%,Lost
House,Lena Epstein (R-Mich),"$1,168,790 ","$1,516,066 ",43.54%,Lost
Senate,Neal Simon (I-Md),"$1,158,921 ","$867,081 ",57.21%,Lost
Senate,Troy Downing (R-Mont),"$1,100,000 ","$346,690 ",76.04%,Lost
House,Hans Keirstead (D-Calif),"$1,080,400 ","$1,045,619 ",50.82%,Lost
House,Alison Friedman (D-Va),"$1,080,365 ","$1,117,838 ",49.15%,Lost
House,Herbert Lee (D-Calif),"$1,064,246 ",$1 ,100.00%,Lost
